case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,expected_fix,verification
NET-001,PC1 cannot ping PC2. Both are in the same department but connected to different switches.,PC1 -> SW1 -> SW2 -> PC2,"SW1# show interfaces trunk
Port   Mode   Encapsulation  Status  Native vlan
Gi0/1  on     802.1q         trunking 1

SW2# show interfaces trunk
Port   Mode   Encapsulation  Status  Native vlan
Gi0/1  on     802.1q         trunking 1

SW1# show vlan brief
10   Sales    active    Fa0/1

SW2# show vlan brief
20   IT       active    Fa0/1",PC1 and PC2 are assigned to different VLANs (10 and 20) on their respective access ports.,Layer 2,VLAN,Medium,Reassign switchport Fa0/1 on SW2 to VLAN 10 using switchport access vlan 10.,show vlan brief on SW2 and ping PC2 from PC1
NET-002,New PC connected to SW1 Fa0/2 cannot reach the network.,PC -> SW1 (Fa0/2),"SW1# show vlan brief
1    default  active    Fa0/1, Fa0/3

SW1# show interfaces Fa0/2 switchport
Name: Fa0/2
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 10 (Inactive)",VLAN 10 is configured on the access port but missing from the VLAN database.,Layer 2,VLAN,Medium,Create VLAN 10 in global configuration mode on SW1 (vlan 10).,show vlan brief on SW1 to verify VLAN 10 is active
NET-003,Traffic from VLAN 30 cannot cross between Switch A and Switch B. Other VLANs work fine.,SW_A -> trunk -> SW_B,"SW_A# show interfaces trunk
Port        Vlans allowed on trunk
Gi0/1       10,20,30

SW_B# show interfaces trunk
Port        Vlans allowed on trunk
Gi0/1       10,20",VLAN 30 is not allowed on the trunk link on Switch B.,Layer 2,VLAN,High,Add VLAN 30 to the allowed trunk VLAN list on SW_B Gi0/1 (switchport trunk allowed vlan add 30).,show interfaces trunk on SW_B
NET-004,CDP messages indicate a 'Native VLAN mismatch' on the trunk between SW1 and SW2.,SW1 (Gi0/1) -> SW2 (Gi0/1),"SW1# show interfaces Gi0/1 switchport
Trunking Native Mode VLAN: 99 (Management)

SW2# show interfaces Gi0/1 switchport
Trunking Native Mode VLAN: 1 (default)",Native VLAN mismatch across the trunk link (99 vs 1).,Layer 2,VLAN,Low,Set native VLAN on SW2 interface Gi0/1 to match SW1 (switchport trunk native vlan 99).,show interfaces Gi0/1 switchport on SW2 and monitor CDP console logs
NET-005,PC1 can ping other PCs in its subnet but cannot reach the internet or other subnets.,PC1 (192.168.1.50) -> SW1 -> R1 (192.168.1.1),"C:\> ipconfig
IPv4 Address: 192.168.1.50
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.1.254

R1# show ip interface brief
GigabitEthernet0/0     192.168.1.1     YES manual up                    up",Incorrect default gateway configured on PC1 (192.168.1.254 instead of 192.168.1.1).,Layer 3,Gateway,High,Change PC1 default gateway address to 192.168.1.1 in network settings.,ipconfig on PC1 and ping 192.168.1.1
NET-006,Entire branch office cannot access the main headquarters network.,Branch PCs -> SW -> R_Branch (Gi0/0),"R_Branch# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     10.1.1.1        YES manual administratively down down
GigabitEthernet0/1     192.168.100.1   YES manual up                    up",The gateway interface (Gi0/0) on the branch router is administratively down.,Layer 1,Gateway,Critical,Enter interface GigabitEthernet0/0 configuration mode on R_Branch and execute no shutdown.,show ip interface brief on R_Branch
NET-007,Server cannot reach external networks despite seemingly correct IP settings.,Server (10.0.0.10/24) -> Router (10.0.1.1/24),"Server# ipconfig
IPv4 Address: 10.0.0.10
Subnet Mask: 255.255.255.0
Default Gateway: 10.0.1.1

Router# show running-config interface Gi0/0
interface GigabitEthernet0/0
 ip address 10.0.1.1 255.255.255.0",Server's default gateway is on a different subnet (10.0.1.x) than the server's IP (10.0.0.x).,Layer 3,Gateway,High,Reconfigure server default gateway to an IP inside 10.0.0.0/24 (e.g. 10.0.0.1).,ipconfig on server and ping 10.0.0.1
NET-008,New clients connecting to the network fail to get an IP address and receive APIPA addresses instead.,Clients -> SW1 -> R1 (DHCP Server),"R1# show ip dhcp pool LAN
Pool LAN :
 Utilization mark (high/low)    : 100 / 0
 Subnet size (first/next)       : 0 / 0
 Total addresses                : 50
 Leased addresses               : 50
 Pending event                  : none",DHCP pool is exhausted; 50/50 addresses are leased.,Layer 7,DHCP,High,Expand DHCP subnet address pool or clear expired bindings with clear ip dhcp binding *.,show ip dhcp pool LAN on R1
NET-009,PCs receive DHCP IP addresses but cannot route traffic off the local subnet.,PCs -> SW1 -> R1 (DHCP),"R1# show running-config | section dhcp
ip dhcp pool OFFICE
 network 192.168.10.0 255.255.255.0
 default-router 192.168.20.1
 dns-server 8.8.8.8

R1# show ip interface brief
Gi0/0    192.168.10.1    YES manual up    up",Incorrect default-router in DHCP pool (192.168.20.1 instead of 192.168.10.1).,Layer 7,DHCP,High,Update DHCP pool configuration on R1 with default-router 192.168.10.1.,ipconfig /renew on client PC and verify gateway address
NET-010,Clients on VLAN 20 do not get an IP address. DHCP server is on VLAN 10.,VLAN 20 Clients -> SW (L3) -> DHCP Server (VLAN 10),"SW# show running-config interface Vlan20
interface Vlan20
 ip address 10.0.20.1 255.255.255.0
 ! Missing helper-address

SW# show running-config interface Vlan10
interface Vlan10
 ip address 10.0.10.1 255.255.255.0",Missing ip helper-address on the VLAN 20 interface to forward DHCP broadcasts.,Layer 3,DHCP,Medium,Configure ip helper-address 10.0.10.2 under interface Vlan20 on SW.,show running-config interface Vlan20 and ipconfig /renew on client
